Ngay,MaGV,Lop,MaMon,Tiet,Buoi
04/05/2026,GV01,6A1,TOAN,1,Sáng (Buổi 1)
04/05/2026,GV01,6A1,TOAN,2,Sáng (Buổi 1)
04/05/2026,GV01,6A2,TOAN,3,Sáng (Buổi 1)
04/05/2026,GV01,6A2,TOAN,4,Sáng (Buổi 1)
05/05/2026,GV01,7A1,TOAN,1,Sáng (Buổi 1)
05/05/2026,GV01,7A1,TOAN,2,Sáng (Buổi 1)
05/05/2026,GV01,6A1,KHTN,1,Chiều (Buổi 1)
05/05/2026,GV01,6A2,KHTN,2,Chiều (Buổi 1)
06/05/2026,GV01,7A2,TOAN,1,Sáng (Buổi 1)
06/05/2026,GV01,7A2,TOAN,2,Sáng (Buổi 1)
07/05/2026,GV01,6A1,TOAN,3,Sáng (Buổi 1)
07/05/2026,GV01,6A2,TOAN,4,Sáng (Buổi 1)
08/05/2026,GV01,7A1,KHTN,1,Chiều (Buổi 1)
08/05/2026,GV01,7A2,KHTN,2,Chiều (Buổi 1)
09/05/2026,GV01,7A1,TOAN,1,Sáng (Buổi 1)
09/05/2026,GV01,7A2,TOAN,2,Sáng (Buổi 1)
