Ngay,MaGV,Lop,MaMon,Tiet,Buoi
01/06/2026,kien,6A2,VAN6,1,Sáng (Buổi 1)
01/06/2026,kien,6A2,VAN6,2,Sáng (Buổi 1)
01/06/2026,kien,6A2,VAN6,3,Sáng (Buổi 1)
02/06/2026,kien,6A1,VAN6,1,Sáng (Buổi 1)
02/06/2026,kien,6A1,VAN6,2,Sáng (Buổi 1)
02/06/2026,kien,6A1,VAN6,3,Sáng (Buổi 1)
03/06/2026,kien,7A2,VAN7,1,Sáng (Buổi 1)
03/06/2026,kien,7A2,VAN7,2,Sáng (Buổi 1)
03/06/2026,kien,7A2,VAN7,3,Sáng (Buổi 1)
04/06/2026,kien,7A2,VAN7,1,Sáng (Buổi 1)
04/06/2026,kien,7A2,VAN7,2,Sáng (Buổi 1)
05/06/2026,kien,6A2,VAN6,1,Sáng (Buổi 1)
05/06/2026,kien,6A2,VAN6,2,Sáng (Buổi 1)
06/06/2026,kien,6A1,VAN6,1,Sáng (Buổi 1)
06/06/2026,kien,6A1,VAN6,2,Sáng (Buổi 1)
06/06/2026,kien,6A1,VAN6,3,Sáng (Buổi 1)
