Ngay,MaGV,Lop,MaMon,Tiet,Buoi
25/05/2026,nhung,8A2,VAN,1,Sáng (Buổi 1)
25/05/2026,nhung,8A2,VAN,2,Sáng (Buổi 1)
26/05/2026,nhung,6A1,ANH,1,Sáng (Buổi 1)
26/05/2026,nhung,6A1,ANH,2,Sáng (Buổi 1)
26/05/2026,nhung,6A1,ANH,3,Sáng (Buổi 1)
26/05/2026,nhung,6A1,ANH,4,Sáng (Buổi 1)
27/05/2026,nhung,8A2,VAN,1,Sáng (Buổi 1)
27/05/2026,nhung,8A2,VAN,2,Sáng (Buổi 1)
27/05/2026,nhung,8A2,VAN,3,Sáng (Buổi 1)
28/05/2026,nhung,6A1,VAN,1,Sáng (Buổi 1)
28/05/2026,nhung,6A1,VAN,2,Sáng (Buổi 1)
28/05/2026,nhung,6A1,VAN,3,Sáng (Buổi 1)
29/05/2026,nhung,6A2,ANH,1,Sáng (Buổi 1)
29/05/2026,nhung,6A2,ANH,2,Sáng (Buổi 1)
29/05/2026,nhung,6A2,ANH,3,Sáng (Buổi 1)
30/05/2026,nhung,6A1,VAN,1,Sáng (Buổi 1)
30/05/2026,nhung,6A1,VAN,2,Sáng (Buổi 1)
