Ngay,MaGV,Lop,MaMon,Tiet,Buoi
18/05/2026,nhung,7A2,VAN,1,Sáng (Buổi 1)
18/05/2026,nhung,7A2,VAN,2,Sáng (Buổi 1)
19/05/2026,nhung,7A2,VAN,1,Sáng (Buổi 1)
19/05/2026,nhung,7A2,VAN,2,Sáng (Buổi 1)
19/05/2026,nhung,7A2,VAN,3,Sáng (Buổi 1)
19/05/2026,nhung,7A2,VAN,4,Sáng (Buổi 1)
20/05/2026,nhung,7A2,LICH SU,1,Sáng (Buổi 1)
20/05/2026,nhung,7A2,LICH SU,2,Sáng (Buổi 1)
20/05/2026,nhung,7A2,LICH SU,3,Sáng (Buổi 1)
20/05/2026,nhung,7A2,LICH SU,4,Sáng (Buổi 1)
21/05/2026,nhung,8A1,VAN,1,Sáng (Buổi 1)
21/05/2026,nhung,8A1,VAN,2,Sáng (Buổi 1)
21/05/2026,nhung,8A1,VAN,3,Sáng (Buổi 1)
21/05/2026,nhung,8A1,VAN,4,Sáng (Buổi 1)
22/05/2026,nhung,7A2,VAN,1,Sáng (Buổi 1)
22/05/2026,nhung,7A2,VAN,2,Sáng (Buổi 1)
22/05/2026,nhung,7A2,VAN,3,Sáng (Buổi 1)
22/05/2026,nhung,7A2,VAN,4,Sáng (Buổi 1)
23/05/2026,nhung,6A2,LICH SU,1,Sáng (Buổi 1)
23/05/2026,nhung,6A2,LICH SU,2,Sáng (Buổi 1)
